COUNTRY,GENDER,ENJMATH,PARENJMATH,WEALTH,TEACHERCLASSMANAG,COGNITIVEACTIV,TEACHSTUDRELAT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH
United Arab Emirates,Male,Disagree,Agree,-1.06,-0.237,-0.1278,-0.3303,328.2521,386.6724,341.494,336.0414,316.568
United Arab Emirates,Male,Strongly agree,Agree,-0.84,-0.9781,3.4603,-0.8079,310.1807,313.2965,313.2965,279.8021,299.2756
United Arab Emirates,Male,Agree,Disagree,-0.61,2.9734,0.4736,-0.1113,413.8573,424.7624,449.6884,398.2785,424.7624
United Arab Emirates,Male,Disagree,Agree,3.09,-2.8224,-2.9882,-1.6365,300.2882,298.7303,305.7408,313.5301,304.9618
United Arab Emirates,Male,Strongly disagree,Strongly agree,0.37,-0.0983,0.3058,-0.5138,367.5105,404.1206,378.4156,385.4261,414.2468
United Arab Emirates,Male,Strongly agree,Agree,-0.84,-0.9781,3.4603,-0.8079,288.2926,306.2081,282.84,286.7347,271.1559
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.38,0.2299,0.6314,1.0099,385.8934,374.2094,401.4722,375.7673,396.0196
United Arab Emirates,Male,Agree,Disagree,3.09,0.3431,0.4532,0.4759,339.0014,296.1598,361.5906,305.5071,354.5802
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.84,0.669,0.7405,0.0111,472.2776,413.8573,460.5936,463.7093,463.7093
United Arab Emirates,Male,Strongly disagree,Agree,0.11,-1.3537,-0.8636,-0.5138,423.3603,356.3717,413.2341,389.866,414.0131
United Arab Emirates,Male,Disagree,Agree,3.09,0.2299,0.87,1.26,483.2606,509.7445,453.661,446.6506,470.0187
United Arab Emirates,Male,Agree,Agree,1.42,0.484,0.6132,0.3536,502.6562,530.6979,483.1827,501.8772,527.5822
United Arab Emirates,Male,Strongly agree,Agree,3.09,-2.8224,-0.2949,-0.3303,539.6557,560.687,532.6453,505.3825,537.3189
United Arab Emirates,Male,Agree,Agree,1.99,-0.237,0.5827,0.3536,572.7606,632.7387,619.4968,623.3915,561.8554
United Arab Emirates,Male,Disagree,Strongly agree,3.09,0.9208,0.8023,1.0099,551.184,590.1309,602.5939,569.8785,596.3624
United Arab Emirates,Female,Agree,Disagree,1.0,0.3431,1.0272,0.2492,558.7397,571.2027,554.0661,537.7084,466.0461
United Arab Emirates,Male,Agree,Agree,0.67,0.1346,1.1192,1.0099,552.1187,544.3293,549.003,567.6975,524.077
United Arab Emirates,Female,Disagree,Disagree,1.0,0.484,0.494,1.0099,589.9751,549.4703,547.1335,603.217,540.1231
United Arab Emirates,Male,Disagree,Agree,1.99,0.1346,0.5827,0.0809,463.6314,486.9995,428.5792,417.6741,521.2728
United Arab Emirates,Male,Disagree,Agree,1.99,0.484,0.9446,0.2492,590.2866,615.9916,634.6861,629.2335,624.5599
United Arab Emirates,Male,Agree,Agree,3.09,0.9208,0.87,0.7959,630.2461,633.3619,590.5203,608.4359,628.6883
United Arab Emirates,Female,Strongly agree,Strongly agree,1.99,0.3431,-0.0219,-0.2217,447.5074,495.0226,461.5283,516.0539,513.7171
United Arab Emirates,Male,Agree,Agree,0.37,0.9208,1.7932,1.0099,660.7026,649.7975,664.5973,624.8715,637.3345
United Arab Emirates,Male,Agree,Strongly agree,1.42,-0.3069,0.2055,-0.1113,596.9855,566.6069,531.5548,546.3546,574.3963
United Arab Emirates,Female,Disagree,Disagree,1.0,-0.0262,-0.1659,0.2492,481.6249,498.7615,522.1296,501.8772,515.1192
United Arab Emirates,Male,Disagree,Agree,-0.14,0.669,-1.8184,-0.1113,452.96,394.5396,384.4135,390.645,434.2655
United Arab Emirates,Male,Agree,Agree,-1.29,-0.4581,-0.1278,-0.4474,475.3155,416.1162,369.38,408.3268,402.8743
United Arab Emirates,Male,Strongly agree,Agree,-1.06,0.2299,1.4681,1.5296,533.2684,527.0369,498.9952,497.4373,455.3747
United Arab Emirates,Male,Agree,Agree,-1.06,0.2299,0.6838,0.3536,422.5035,357.8517,352.3991,380.4409,353.957
United Arab Emirates,Male,Disagree,Agree,-0.14,0.9208,0.5827,1.0099,498.8394,549.4703,572.8384,516.7549,538.5652
United Arab Emirates,Male,Disagree,Agree,-0.61,0.669,-0.2949,-0.1113,505.7719,512.7824,550.1714,446.5727,476.1723
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.46,2.9734,0.6838,1.5296,418.9204,449.29900000000004,473.44599999999997,452.4147,444.6253
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.14,-0.7808,-0.0561,0.2492,448.9095,448.9095,419.3099,430.9939,418.5309
United Arab Emirates,Male,Strongly agree,Agree,0.11,0.1346,0.6838,0.3536,439.718,465.423,438.1601,376.6241,423.3603
United Arab Emirates,Male,Agree,Agree,1.42,-0.1679,-0.0219,0.0111,359.2538,377.1693,426.2424,398.9796,420.0109
United Arab Emirates,Male,Strongly agree,Agree,-0.14,0.1346,-0.0803,0.0809,344.3761,331.1341,340.4814,360.7338,359.1759
United Arab Emirates,Male,Strongly agree,Agree,-1.73,-1.9363,-1.0353,-1.3056,328.1742,272.0907,349.9844,328.1742,308.7007
